2995 408 341
376 281 -1 0
379 280 -1 0
378 280 -1 0
377 280 -1 0
376 280 -1 0
375 280 -1 0
374 280 -1 0
373 280 -1 0
380 279 -1 0
379 279 -1 0
378 279 -1 0
377 279 -1 0
376 279 -1 0
375 279 -1 0
374 279 -1 0
373 279 -1 0
372 279 -1 0
380 278 -1 0
379 278 -1 0
378 278 -1 0
377 278 -1 0
376 278 -1 0
375 278 -1 0
374 278 -1 0
373 278 -1 0
372 278 -1 0
371 278 -1 0
380 277 -1 0
379 277 -1 0
378 277 -1 0
377 277 -1 0
376 277 -1 0
375 277 -1 0
374 277 -1 0
373 277 -1 0
372 277 -1 0
371 277 -1 0
381 276 -1 0
380 276 -1 0
379 276 -1 0
378 276 -1 0
377 276 -1 0
376 276 -1 0
375 276 -1 0
374 276 -1 0
373 276 -1 0
372 276 -1 0
371 276 -1 0
370 276 -1 0
380 275 -1 0
379 275 -1 0
378 275 -1 0
377 275 -1 0
376 275 -1 0
375 275 -1 0
374 275 -1 0
373 275 -1 0
372 275 -1 0
371 275 -1 0
370 275 -1 0
369 275 -1 0
380 274 -1 0
379 274 -1 0
378 274 -1 0
377 274 -1 0
376 274 -1 0
375 274 -1 0
374 274 -1 0
373 274 -1 0
372 274 -1 0
371 274 -1 0
370 274 -1 0
369 274 -1 0
380 273 -1 0
379 273 -1 0
378 273 -1 0
377 273 -1 0
376 273 -1 0
375 273 -1 0
374 273 -1 0
373 273 -1 0
372 273 -1 0
371 273 -1 0
370 273 -1 0
369 273 -1 0
368 273 -1 0
379 272 -1 0
378 272 -1 0
377 272 -1 0
376 272 -1 0
375 272 -1 0
374 272 -1 0
373 272 -1 0
372 272 -1 0
371 272 -1 0
370 272 -1 0
369 272 -1 0
368 272 -1 0
367 272 -1 0
379 271 -1 0
378 271 -1 0
377 271 -1 0
376 271 -1 0
375 271 -1 0
374 271 -1 0
373 271 -1 0
372 271 -1 0
371 271 -1 0
370 271 -1 0
369 271 -1 0
368 271 -1 0
367 271 -1 0
379 270 -1 0
378 270 -1 0
377 270 -1 0
376 270 -1 0
375 270 -1 0
374 270 -1 0
373 270 -1 0
372 270 -1 0
371 270 -1 0
370 270 -1 0
369 270 -1 0
368 270 -1 0
367 270 -1 0
366 270 -1 0
378 269 -1 0
377 269 -1 0
376 269 -1 0
375 269 -1 0
374 269 -1 0
373 269 -1 0
372 269 -1 0
371 269 -1 0
370 269 -1 0
369 269 -1 0
368 269 -1 0
367 269 -1 0
366 269 -1 0
377 268 -1 0
376 268 -1 0
375 268 -1 0
374 268 -1 0
373 268 -1 0
372 268 -1 0
371 268 -1 0
370 268 -1 0
369 268 -1 0
368 268 -1 0
367 268 -1 0
366 268 -1 0
365 268 -1 0
376 267 -1 0
375 267 -1 0
374 267 -1 0
373 267 -1 0
372 267 -1 0
371 267 -1 0
370 267 -1 0
369 267 -1 0
368 267 -1 0
367 267 -1 0
366 267 -1 0
365 267 -1 0
364 267 -1 0
376 266 -1 0
375 266 -1 0
374 266 -1 0
373 266 -1 0
372 266 -1 0
371 266 -1 0
370 266 -1 0
369 266 -1 0
368 266 -1 0
367 266 -1 0
366 266 -1 0
365 266 -1 0
364 266 -1 0
363 266 -1 0
375 265 -1 0
374 265 -1 0
373 265 -1 0
372 265 -1 0
371 265 -1 0
370 265 -1 0
369 265 -1 0
368 265 -1 0
367 265 -1 0
366 265 -1 0
365 265 -1 0
364 265 -1 0
363 265 -1 0
362 265 -1 0
374 264 -1 0
373 264 -1 0
372 264 -1 0
371 264 -1 0
370 264 -1 0
369 264 -1 0
368 264 -1 0
367 264 -1 0
366 264 -1 0
365 264 -1 0
364 264 -1 0
363 264 -1 0
362 264 -1 0
361 264 -1 0
373 263 -1 0
372 263 -1 0
371 263 -1 0
370 263 -1 0
369 263 -1 0
368 263 -1 0
367 263 -1 0
366 263 -1 0
365 263 -1 0
364 263 -1 0
363 263 -1 0
362 263 -1 0
361 263 -1 0
360 263 -1 0
373 262 -1 0
372 262 -1 0
371 262 -1 0
370 262 -1 0
369 262 -1 0
368 262 -1 0
367 262 -1 0
366 262 -1 0
365 262 -1 0
364 262 -1 0
363 262 -1 0
362 262 -1 0
361 262 -1 0
360 262 -1 0
372 261 -1 0
371 261 -1 0
370 261 -1 0
369 261 -1 0
368 261 -1 0
367 261 -1 0
366 261 -1 0
365 261 -1 0
364 261 -1 0
363 261 -1 0
362 261 -1 0
361 261 -1 0
360 261 -1 0
359 261 -1 0
358 261 -1 0
371 260 -1 0
370 260 -1 0
369 260 -1 0
368 260 -1 0
367 260 -1 0
366 260 -1 0
365 260 -1 0
364 260 -1 0
363 260 -1 0
362 260 -1 0
361 260 -1 0
360 260 -1 0
359 260 -1 0
358 260 -1 0
357 260 -1 0
370 259 -1 0
369 259 -1 0
368 259 -1 0
367 259 -1 0
366 259 -1 0
365 259 -1 0
364 259 -1 0
363 259 -1 0
362 259 -1 0
361 259 -1 0
360 259 -1 0
359 259 -1 0
358 259 -1 0
357 259 -1 0
370 258 -1 0
369 258 -1 0
368 258 -1 0
367 258 -1 0
366 258 -1 0
365 258 -1 0
364 258 -1 0
363 258 -1 0
362 258 -1 0
361 258 -1 0
360 258 -1 0
359 258 -1 0
358 258 -1 0
357 258 -1 0
369 257 -1 0
368 257 -1 0
367 257 -1 0
366 257 -1 0
365 257 -1 0
364 257 -1 0
363 257 -1 0
362 257 -1 0
361 257 -1 0
360 257 -1 0
359 257 -1 0
358 257 -1 0
357 257 -1 0
356 257 -1 0
368 256 -1 0
367 256 -1 0
366 256 -1 0
365 256 -1 0
364 256 -1 0
363 256 -1 0
362 256 -1 0
361 256 -1 0
360 256 -1 0
359 256 -1 0
358 256 -1 0
357 256 -1 0
356 256 -1 0
367 255 -1 0
366 255 -1 0
365 255 -1 0
364 255 -1 0
363 255 -1 0
362 255 -1 0
361 255 -1 0
360 255 -1 0
359 255 -1 0
358 255 -1 0
357 255 -1 0
356 255 -1 0
355 255 -1 0
354 255 -1 0
366 254 -1 0
365 254 -1 0
364 254 -1 0
363 254 -1 0
362 254 -1 0
361 254 -1 0
360 254 -1 0
359 254 -1 0
358 254 -1 0
357 254 -1 0
356 254 -1 0
355 254 -1 0
354 254 -1 0
353 254 -1 0
365 253 -1 0
364 253 -1 0
363 253 -1 0
362 253 -1 0
361 253 -1 0
360 253 -1 0
359 253 -1 0
358 253 -1 0
357 253 -1 0
356 253 -1 0
355 253 -1 0
354 253 -1 0
353 253 -1 0
364 252 -1 0
363 252 -1 0
362 252 -1 0
361 252 -1 0
360 252 -1 0
359 252 -1 0
358 252 -1 0
357 252 -1 0
356 252 -1 0
355 252 -1 0
354 252 -1 0
353 252 -1 0
352 252 -1 0
364 251 -1 0
363 251 -1 0
362 251 -1 0
361 251 -1 0
360 251 -1 0
359 251 -1 0
358 251 -1 0
357 251 -1 0
356 251 -1 0
355 251 -1 0
354 251 -1 0
353 251 -1 0
352 251 -1 0
351 251 -1 0
364 250 -1 0
363 250 -1 0
362 250 -1 0
361 250 -1 0
360 250 -1 0
359 250 -1 0
358 250 -1 0
357 250 -1 0
356 250 -1 0
355 250 -1 0
354 250 -1 0
353 250 -1 0
352 250 -1 0
351 250 -1 0
350 250 -1 0
349 250 -1 0
363 249 -1 0
362 249 -1 0
361 249 -1 0
360 249 -1 0
359 249 -1 0
358 249 -1 0
357 249 -1 0
356 249 -1 0
355 249 -1 0
354 249 -1 0
353 249 -1 0
352 249 -1 0
351 249 -1 0
350 249 -1 0
349 249 -1 0
348 249 -1 0
362 248 -1 0
361 248 -1 0
360 248 -1 0
359 248 -1 0
358 248 -1 0
357 248 -1 0
356 248 -1 0
355 248 -1 0
354 248 -1 0
353 248 -1 0
352 248 -1 0
351 248 -1 0
350 248 -1 0
349 248 -1 0
348 248 -1 0
360 247 -1 0
359 247 -1 0
358 247 -1 0
357 247 -1 0
356 247 -1 0
355 247 -1 0
354 247 -1 0
353 247 -1 0
352 247 -1 0
351 247 -1 0
350 247 -1 0
349 247 -1 0
348 247 -1 0
347 247 -1 0
360 246 -1 0
359 246 -1 0
358 246 -1 0
357 246 -1 0
356 246 -1 0
355 246 -1 0
354 246 -1 0
353 246 -1 0
352 246 -1 0
351 246 -1 0
350 246 -1 0
349 246 -1 0
348 246 -1 0
347 246 -1 0
346 246 -1 0
359 245 -1 0
358 245 -1 0
357 245 -1 0
356 245 -1 0
355 245 -1 0
354 245 -1 0
353 245 -1 0
352 245 -1 0
351 245 -1 0
350 245 -1 0
349 245 -1 0
348 245 -1 0
347 245 -1 0
346 245 -1 0
358 244 -1 0
357 244 -1 0
356 244 -1 0
355 244 -1 0
354 244 -1 0
353 244 -1 0
